"Total.number.of.enrolled.sutdents","Community.Type","TAX.Rate","Property.Wealth","X..of.Students.Identify.as.Caucasian","Percentage.Students.in.Gifted.Talented.Education","Percentage.Female.Student","Percentage.Students.Enrolled.in.ESL.Classes","Attendance.Rate","Percentage.Students.on.Free.and.Reduced.Lunch","Total.Staff.FTE","Total.Number.of.Teachers.FTE","Percentage.Staff.Central.Administrative","Percentage.Staff.School.Administritative","Percentage.Teachers.Identify.as.Caucasian","Total.Operating.and.Other.Revenue.2020.2021","Total.Operating.and.Other.Revenue.per.Pupil.2020.2021","Percentage.School.Nurses","Median.Household.Income.Community","Teacher.Turnover.Rate","Median.Household.Income.Parents","Percentage.Students.Graduating","ISD","sum_all_strength"
546,5,4,1,69.5,6.4,267.54,9.828,96,35.4,86.53,51.53,1.2,3.5,87.5,7140903,15033,1,70313,24.6,66875,96.3,"Ropes",1
592,2,1,5,38.2,11.3,284.16,23.68,96.8,32.4,99.25,57.31,1.9,4.1,0.6,9104373,16143,1,51250,8.6,56136,100,"Sundown",0
234,2,3,2,56.4,5.5,105.3,1.872,96.2,54.7,34.81,20.25,3.1,2.1,89,2721104,15461,0,71818,22.8,NA,100,"Whitharral",1
623,2,4,1,39.7,4.9,292.81,173.194,95.1,77.1,123.59,60.41,1.6,4.5,86.7,11307746,18477,2,44006,23.5,45156,97.8,"Carlisle",1
3400,6,2,2,43.4,6.5,1734,520.2,95.6,46.2,550.15,242.24,1.7,2.9,81.2,41474317,12425,6,64368,22.4,71078,92.5,"Henderson",1
150,2,1,3,23.7,4.5,63,22.05,97.1,84,33.76,15.63,2.9,5.4,76.2,2776872,17036,1,48661,21.2,NA,92.3,"Laneville",1
234,2,1,1,47.1,0,107.64,62.244,94.6,55.9,47.07,26.37,2.9,4.5,84.3,3613943,15313,1,669,9.6,112500,100,"Leveretts Chapel",1
496,2,2,1,75.8,5.8,257.92,20.336,94.8,65.7,80.05,42.39,1.4,2.1,92.7,6115810,15176,3,55326,25.1,58500,88.5,"Mount Enterprise",1
494,2,4,1,70.4,11.4,222.3,11.362,95.6,63.5,96.89,49,2.1,2.2,94,10998827,23058,1,60610,20.5,69318,100,"Overton",1
1476,3,2,3,45.7,8.6,708.48,219.924,96,39,228.82,107.51,1.9,2.8,83.5,20191579,13736,1,80845,16.3,83281,99.2,"Tatum",1
1048,5,3,2,54.6,5.7,503.04,118.424,95.6,51,165.84,76.81,2.4,4.7,98.7,13952041,13585,2,40582,13.1,29855,100,"West Rusk County",1
760,2,1,1,66.6,5.3,349.6,20.52,95.5,46.1,98.18,56.41,2.1,5.2,93.2,8868103,12871,1,58262,27,NA,100,"Garrison",1
3821,3,3,2,44.7,4.1,1834.08,852.083,94.7,54.9,561.52,276.17,1.6,3.1,77.9,47750922,12104,6,59733,21.8,67427,92.6,"Kilgore",1
671,2,2,2,68.7,4.9,315.37,42.273,94.9,52.8,119.68,61.87,2.8,3.8,94.9,9626307,14994,1,43403,36.8,63028,97.3,"Big Sandy",1
2825,3,4,2,58.7,5,1327.75,262.725,93.3,61.7,477.52,198.6,2,2.7,86,40741713,16238,5,52013,11.9,56679,88.7,"Gilmer",1
1009,5,2,2,76.3,6.6,494.41,61.549,95,40.9,183.56,88.02,2.2,2.9,98.9,13190475,12869,3,54648,10,NA,98.7,"Harmony",1
1186,3,2,1,75.2,4.7,557.42,17.79,93.7,29.6,167.38,97.62,2.4,3,96.1,16140976,13796,2,85390,15.1,NA,98.5,"New Diana",1
825,2,3,1,68.3,3,404.25,70.125,93,49.9,171.28,84.14,2.1,4.2,91.5,13493056,14540,3,45536,20.2,50000,95.9,"Ore City",1
761,2,4,1,86.7,8.4,380.5,17.503,95.9,32.3,108.6,67.52,1.8,3.9,93.1,10193413,14138,2,65523,24,84265,94.7,"Union Grove",1
254,2,1,2,73.9,1.4,124.46,5.334,93.8,69,61.07,30.2,3.2,4.8,93.8,5115980,16664,1,71639,27.7,NA,100,"Union Hill",1
901,5,1,3,73.7,5.3,405.45,16.218,94.1,44.3,162.81,81,0.6,3.8,86.4,14547664,16550,3,41646,19.7,63571,88.9,"Hemphill",1
608,2,3,1,82.6,5,310.08,3.04,92.7,72.9,94.62,53.27,3.3,1.1,92.1,8013417,14133,3,42261,15.8,41696,100,"West Sabine",1
594,2,1,3,79.1,6.1,297,5.94,96.7,37,123.27,48.4,1.5,5,91.7,10600571,19814,1,61493,19.1,NA,100,"Cayuga",1
1194,5,3,1,80.3,4.6,585.06,32.238,96,38,188.98,104.5,1.1,2.1,90.5,16544197,13787,1,65253,13.9,77708,100,"Elkhart",1
802,2,4,2,75.2,7.3,360.9,32.882,95.4,50,141.64,68.02,1.4,3.5,93.3,10632871,13845,3,60404,21.6,55911,95.2,"Frankston",1
310,2,4,2,75.1,5.6,151.9,6.2,95.8,39.4,62.2,28.07,3.1,5,93.5,5044735,14925,1,63214,18.3,NA,95.8,"Neches",1
3297,6,4,2,27.3,2.3,1582.56,530.817,93.7,56.9,561.63,251.42,2.1,3.4,74.6,59631485,17549,6,46328,17.9,54084,99,"Palestine",1
349,2,2,2,87,3.3,NA,2.094,96.7,37.1,68.63,37.63,4.1,3.4,100,5339355,14588,1,48446,14.6,NA,100,"Slocum",0
1414,5,1,2,48,3.2,678.72,96.152,94.5,53.8,253.32,106.03,1.1,4.6,80.9,18304035,13538,4,46056,30.6,60000,97.8,"Westwood",1
